Ad ID,Category,Price,Currency,Price per m2,Floor Number,Room Count,Area,Location,Excerpt,Last Updated,State of Repair,Link
5276822,Yeni tikili,118 000,AZN,2 000 AZN/m²,10 / 16,1,59 m²,Həzi Aslanov m.,var,"13.06.2025, 14:26",yoxdur,https://bina.az/items/5276822
5212267,Yeni tikili,159 000,AZN,2 890 AZN/m²,3 / 15,2,55 m²,Həzi Aslanov m.,var,"13.06.2025, 14:26",var,https://bina.az/items/5212267
5231071,Yeni tikili,234 000,AZN,3 490 AZN/m²,10 / 17,2,67 m²,Nəriman Nərimanov m.,yoxdur,"13.06.2025, 14:26",yoxdur,https://bina.az/items/5231071
5276821,Yeni tikili,158 000,AZN,1 880 AZN/m²,11 / 11,2,84 m²,20 Yanvar m.,var,"13.06.2025, 14:26",var,https://bina.az/items/5276821
5276816,Köhnə tikili,112 000,AZN,2 240 AZN/m²,9 / 9,2,50 m²,7-ci mikrorayon q.,var,"13.06.2025, 14:25",var,https://bina.az/items/5276816
5205531,Yeni tikili,250 000,AZN,1 920 AZN/m²,6 / 16,3,130 m²,Həzi Aslanov m.,var,"13.06.2025, 14:25",var,https://bina.az/items/5205531
5243792,Yeni tikili,325 000,AZN,3 010 AZN/m²,9 / 27,3,108 m²,8 Noyabr m.,var,"13.06.2025, 14:25",var,https://bina.az/items/5243792
5276814,Yeni tikili,150 000,AZN,4 170 AZN/m²,13 / 16,2,36 m²,Nəriman Nərimanov m.,var,"13.06.2025, 15:33",var,https://bina.az/items/5276814
4881045,Yeni tikili,53 000,AZN,964 AZN/m²,4 / 4,2,55 m²,Masazır q.,var,"13.06.2025, 14:25",var,https://bina.az/items/4881045
5276815,Yeni tikili,230 000,AZN,2 300 AZN/m²,2 / 18,2,100 m²,Nəsimi r.,yoxdur,"13.06.2025, 14:25",var,https://bina.az/items/5276815
5266928,Yeni tikili,209 000,AZN,4 100 AZN/m²,5 / 16,2,51 m²,Nərimanov r.,var,"13.06.2025, 14:25",var,https://bina.az/items/5266928
5276807,Köhnə tikili,244 000,AZN,3 390 AZN/m²,3 / 9,2,72 m²,Gənclik m.,var,"13.06.2025, 14:24",var,https://bina.az/items/5276807
5268798,Yeni tikili,161 838,AZN,2 650 AZN/m²,8 / 16,2,61 m²,Dərnəgül m.,var,"13.06.2025, 14:24",var,https://bina.az/items/5268798
5175818,Yeni tikili,85 000,AZN,1 200 AZN/m²,3 / 5,3,71 m²,Badamdar q.,yoxdur,"13.06.2025, 14:24",yoxdur,https://bina.az/items/5175818
5201401,Yeni tikili,210 000,AZN,2 210 AZN/m²,8 / 16,3,95 m²,Həzi Aslanov m.,var,"13.06.2025, 14:24",var,https://bina.az/items/5201401
5139575,Yeni tikili,1 879 950,AZN,7 550 AZN/m²,10 / 16,4,249 m²,İçəri Şəhər m.,yoxdur,"13.06.2025, 14:23",yoxdur,https://bina.az/items/5139575
5207541,Köhnə tikili,129 000,AZN,1 840 AZN/m²,9 / 9,3,70 m²,Həzi Aslanov m.,var,"13.06.2025, 19:47",var,https://bina.az/items/5207541
5272790,Yeni tikili,284 000,AZN,2 410 AZN/m²,11 / 19,3,118 m²,Nəriman Nərimanov m.,var,"13.06.2025, 14:23",yoxdur,https://bina.az/items/5272790
5164881,Yeni tikili,410 000,AZN,2 090 AZN/m²,5 / 16,4,196 m²,28 May m.,var,"13.06.2025, 11:13",var,https://bina.az/items/5164881
4451841,Yeni tikili,319 200,AZN,3 990 AZN/m²,8 / 8,2,79.9 m²,Nardaran q.,yoxdur,"13.06.2025, 12:34",yoxdur,https://bina.az/items/4451841
5190148,Yeni tikili,285 000,AZN,2 480 AZN/m²,5 / 15,3,115 m²,Həzi Aslanov m.,var,"13.06.2025, 14:23",var,https://bina.az/items/5190148
5268026,Köhnə tikili,209 500,AZN,2 100 AZN/m²,9 / 9,3,100 m²,Elmlər Akademiyası m.,yoxdur,"13.06.2025, 14:22",var,https://bina.az/items/5268026
5254075,Köhnə tikili,215 500,AZN,2 160 AZN/m²,5 / 9,4,100 m²,Elmlər Akademiyası m.,var,"13.06.2025, 14:22",var,https://bina.az/items/5254075
5145429,Köhnə tikili,259 000,AZN,2 590 AZN/m²,3 / 5,4,100 m²,Həzi Aslanov m.,var,"13.06.2025, 14:22",var,https://bina.az/items/5145429
5229537,Yeni tikili,480 000,AZN,2 290 AZN/m²,8 / 16,4,210 m²,İçəri Şəhər m.,var,"13.06.2025, 14:21",var,https://bina.az/items/5229537
5276803,Yeni tikili,554 000,AZN,3 770 AZN/m²,3 / 8,3,147 m²,Ağ şəhər q.,yoxdur,"13.06.2025, 14:21",yoxdur,https://bina.az/items/5276803
4849069,Yeni tikili,270 000,AZN,2 080 AZN/m²,8 / 11,3,130 m²,Memar Əcəmi m.,var,"13.06.2025, 14:21",var,https://bina.az/items/4849069
5206939,Köhnə tikili,127 000,AZN,2 120 AZN/m²,1 / 9,2,60 m²,Xətai r.,var,"13.06.2025, 14:20",var,https://bina.az/items/5206939
5271584,Yeni tikili,208 000,AZN,1 980 AZN/m²,6 / 16,3,105 m²,Xalqlar Dostluğu m.,var,"13.06.2025, 14:20",var,https://bina.az/items/5271584
5276797,Yeni tikili,147 000,AZN,1 840 AZN/m²,3 / 16,3,80 m²,Yeni Günəşli q.,var,"13.06.2025, 14:20",var,https://bina.az/items/5276797
5276799,Yeni tikili,580 000,AZN,3 140 AZN/m²,3 / 16,4,185 m²,8 Noyabr m.,var,"13.06.2025, 14:20",var,https://bina.az/items/5276799
5242585,Yeni tikili,132 000,AZN,3 300 AZN/m²,11 / 16,2,40 m²,İnşaatçılar m.,var,"13.06.2025, 14:20",var,https://bina.az/items/5242585
5270044,Yeni tikili,319 000,AZN,2 870 AZN/m²,7 / 20,3,111 m²,Şah İsmayıl Xətai m.,var,"13.06.2025, 14:19",var,https://bina.az/items/5270044
5189501,Köhnə tikili,149 900,AZN,2 140 AZN/m²,7 / 9,3,70 m²,Xalqlar Dostluğu m.,var,"13.06.2025, 14:19",var,https://bina.az/items/5189501
5276795,Yeni tikili,505 000,AZN,3 770 AZN/m²,2 / 8,3,134 m²,Ağ şəhər q.,yoxdur,"13.06.2025, 14:19",yoxdur,https://bina.az/items/5276795
5039283,Yeni tikili,325 000,AZN,3 220 AZN/m²,9 / 17,3,101 m²,Nəsimi r.,var,"13.06.2025, 14:18",var,https://bina.az/items/5039283
4757762,Yeni tikili,370 000,AZN,3 250 AZN/m²,10 / 11,3,114 m²,Nərimanov r.,yoxdur,"13.06.2025, 14:18",var,https://bina.az/items/4757762
5236018,Yeni tikili,450 000,AZN,2 050 AZN/m²,5 / 21,4,220 m²,Nizami m.,var,"13.06.2025, 14:18",var,https://bina.az/items/5236018
5116904,Yeni tikili,308 000,AZN,2 370 AZN/m²,13 / 16,3,130 m²,Xətai r.,yoxdur,"13.06.2025, 14:17",var,https://bina.az/items/5116904
5274985,Köhnə tikili,136 000,AZN,2 270 AZN/m²,2 / 9,2,60 m²,Əhmədli m.,var,"13.06.2025, 14:17",var,https://bina.az/items/5274985
5183429,Köhnə tikili,230 000,AZN,3 430 AZN/m²,2 / 6,3,67 m²,Gənclik m.,var,"13.06.2025, 14:17",var,https://bina.az/items/5183429
5230616,Yeni tikili,430 000,AZN,2 260 AZN/m²,18 / 20,4,190 m²,Gənclik m.,var,"13.06.2025, 14:18",var,https://bina.az/items/5230616
5276786,Yeni tikili,125 000,AZN,1 870 AZN/m²,9 / 13,2,67 m²,Xətai r.,yoxdur,"13.06.2025, 14:16",yoxdur,https://bina.az/items/5276786
5276734,Yeni tikili,245 000,AZN,1 680 AZN/m²,7 / 18,3,146 m²,Nəsimi m.,var,"13.06.2025, 14:16",yoxdur,https://bina.az/items/5276734
5221201,Yeni tikili,290 000,AZN,1 960 AZN/m²,9 / 17,3,148 m²,Həzi Aslanov m.,var,"13.06.2025, 12:44",var,https://bina.az/items/5221201
5225195,Yeni tikili,580 000,AZN,3 470 AZN/m²,5 / 8,4,167 m²,Ağ şəhər q.,yoxdur,"13.06.2025, 14:27",yoxdur,https://bina.az/items/5225195
5173307,Yeni tikili,239 000,AZN,2 440 AZN/m²,7 / 13,3,98 m²,Qara Qarayev m.,var,"13.06.2025, 14:15",var,https://bina.az/items/5173307
3738091,Yeni tikili,242 640,AZN,2 400 AZN/m²,15 / 17,3,101.1 m²,7-ci mikrorayon q.,var,"13.06.2025, 14:15",yoxdur,https://bina.az/items/3738091
5060805,Yeni tikili,160 000,AZN,2 810 AZN/m²,1 / 9,2,57 m²,Yasamal q.,var,"13.06.2025, 14:14",var,https://bina.az/items/5060805
5259148,Köhnə tikili,149 000,AZN,2 480 AZN/m²,9 / 9,2,60 m²,Nəsimi r.,var,"13.06.2025, 14:14",var,https://bina.az/items/5259148
5120875,Yeni tikili,270 000,AZN,2 060 AZN/m²,7 / 14,3,131 m²,Yeni Günəşli q.,var,"13.06.2025, 14:14",var,https://bina.az/items/5120875
5090090,Yeni tikili,465 000,AZN,4 830 AZN/m²,3 / 16,3,96.2 m²,Elmlər Akademiyası m.,var,"13.06.2025, 14:13",var,https://bina.az/items/5090090
5276779,Yeni tikili,309 000,AZN,1 990 AZN/m²,8 / 16,3,155 m²,20 Yanvar m.,var,"13.06.2025, 14:13",var,https://bina.az/items/5276779
4995994,Yeni tikili,332 500,AZN,2 500 AZN/m²,13 / 15,3,133 m²,Nəriman Nərimanov m.,var,"13.06.2025, 14:13",yoxdur,https://bina.az/items/4995994
5276778,Yeni tikili,217 000,AZN,3 920 AZN/m²,2 / 7,1,55.4 m²,Sabunçu r.,yoxdur,"13.06.2025, 14:13",yoxdur,https://bina.az/items/5276778
5245508,Yeni tikili,165 000,AZN,2 010 AZN/m²,2 / 16,3,82 m²,Yeni Günəşli q.,var,"13.06.2025, 14:13",var,https://bina.az/items/5245508
